,AQI Category,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG,VG_nan
306,1,28.4,32.8,24.4,1014.1,76,0.0,15.6,11.3,27.8,44.6,1,0,1,0,0
910,1,5.4,8.9,3.3,1021.7,89,1.52,9.8,16.7,25.9,42.4,1,0,0,1,1
93,1,26.4,31.1,17.2,1014.9,71,0.0,16.1,15.2,29.4,48.2,0,0,0,0,0
250,1,13.3,20.0,8.3,1015.3,64,4.32,16.1,16.1,22.2,33.5,0,0,0,0,0
213,0,-9.0,-0.6,-12.2,1028.7,37,0.0,16.1,20.2,27.8,38.9,0,0,0,0,0
532,1,9.2,18.9,2.2,1024.3,63,0.0,16.1,6.1,14.8,42.4,0,0,0,0,1
1095,1,12.4,21.7,-2.8,1032.6,38,0.0,16.1,18.9,31.7,44.6,0,0,0,0,0
194,1,2.5,6.1,1.1,1024.4,88,9.65,8.9,27.0,37.0,50.0,1,1,0,0,0
143,1,19.9,25.6,8.9,1019.0,61,0.0,16.1,14.4,22.2,29.4,0,0,0,0,0
1130,1,14.1,15.6,12.2,1016.4,81,15.24,11.9,25.6,37.0,50.0,1,0,0,0,0
8,1,6.3,16.1,0.6,1013.6,91,10.67,7.9,4.1,13.0,42.4,0,0,0,1,1
644,1,23.6,28.9,19.4,1017.2,76,10.16,15.0,15.0,24.1,33.5,1,0,0,0,0
1132,1,15.9,19.4,12.2,1023.2,83,0.0,10.8,19.8,25.9,38.9,1,0,0,0,0
765,1,21.7,27.8,16.1,1015.5,81,0.0,14.3,11.7,22.2,42.4,0,0,0,0,1
1185,1,28.5,33.9,23.3,1013.8,74,0.0,16.1,8.0,18.3,42.4,0,0,0,0,1
793,1,24.8,27.2,22.2,1021.6,73,0.76,16.1,17.0,24.1,29.4,0,0,0,0,0
352,1,20.0,22.8,17.8,1020.2,78,1.27,15.4,18.1,29.4,44.6,1,0,0,0,0
851,1,16.6,27.8,11.7,1017.6,78,8.13,16.1,9.4,16.5,42.4,0,0,0,0,1
1173,1,25.8,31.1,21.7,1020.2,79,4.32,14.3,6.7,20.6,42.4,0,0,0,1,1
549,1,9.1,17.2,6.1,1019.7,79,2.79,12.7,9.4,24.1,42.4,1,0,0,1,1
362,0,7.6,10.0,6.1,1018.9,87,19.05,5.6,8.1,11.1,42.4,0,0,0,1,1
481,1,29.3,35.0,25.0,1016.6,66,35.81,16.1,14.8,22.2,42.4,1,0,0,0,1
761,1,15.6,21.7,13.9,1016.8,96,5.59,8.4,13.3,24.1,33.5,1,0,0,1,0
302,1,25.4,31.1,18.9,1017.0,65,0.0,16.1,7.2,18.3,42.4,0,0,0,0,1
886,1,1.8,7.2,-0.6,1021.3,87,25.4,12.6,26.1,37.0,57.6,1,1,0,0,0
599,1,5.9,11.1,1.1,1018.3,83,9.4,11.9,23.2,38.9,55.4,1,1,0,0,0
531,1,11.7,19.4,5.0,1028.4,54,0.0,16.1,17.4,25.9,42.4,0,0,0,0,0
345,1,18.8,21.7,17.2,1021.4,73,12.7,16.1,11.9,20.6,42.4,1,0,0,0,1
